x,y,species cloglog values
1.0,1.0,0.012007611
2.0,2.0,0.08637435
3.0,3.0,0.2554098
4.0,4.0,0.0014126851
5.0,5.0,0.44955888
6.0,6.0,0.1353494
7.0,7.0,0.21676682
8.0,8.0,0.5534603
9.0,9.0,0.010283525
10.0,10.0,0.09536213
11.0,11.0,0.18853456
12.0,12.0,0.044793528
13.0,13.0,0.12274908
14.0,14.0,0.01605009
15.0,15.0,0.3041173
16.0,16.0,0.06807003
17.0,17.0,0.18112838
18.0,18.0,0.13651425
19.0,19.0,8.515667E-4
20.0,20.0,0.007639546
21.0,21.0,0.0021895482
22.0,22.0,0.25778
23.0,23.0,0.6584453
24.0,24.0,7.564427E-4
25.0,25.0,0.6046268
26.0,26.0,0.019152226
27.0,27.0,0.2708921
28.0,28.0,0.0034552808
29.0,29.0,0.2035252
30.0,30.0,0.29906696
31.0,31.0,0.0017045817
32.0,32.0,0.09397163
33.0,33.0,2.2806542E-4
34.0,34.0,0.008239183
35.0,35.0,0.52060854
36.0,36.0,0.009237909
37.0,37.0,0.3605696
38.0,38.0,0.008415661
39.0,39.0,0.07001859
40.0,40.0,0.08018877
41.0,41.0,0.0050265673
42.0,42.0,4.1343513E-4
43.0,43.0,0.029527139
44.0,44.0,0.75329596
45.0,45.0,0.6798132
46.0,46.0,0.07169574
47.0,47.0,0.21709256
48.0,48.0,0.094189994
49.0,49.0,0.39426944
50.0,50.0,0.007689288
51.0,51.0,0.008815407
52.0,52.0,0.31870925
53.0,53.0,6.458035E-4
54.0,54.0,0.048879106
55.0,55.0,0.06560589
56.0,56.0,0.0621164
57.0,57.0,0.76386344
58.0,58.0,0.0010308407
59.0,59.0,0.16349512
60.0,60.0,5.1056482E-5
61.0,61.0,0.007627328
62.0,62.0,0.2110975
63.0,63.0,0.0034725396
64.0,64.0,0.024265988
65.0,65.0,0.12833455
66.0,66.0,0.022356905
67.0,67.0,0.048371606
68.0,68.0,0.2895643
69.0,69.0,0.032584872
70.0,70.0,0.0053671435
71.0,71.0,0.0019794444
72.0,72.0,0.011673458
73.0,73.0,0.0040359846
74.0,74.0,5.444515E-4
75.0,75.0,0.0115869595
76.0,76.0,0.0034927109
77.0,77.0,0.013071832
78.0,78.0,0.31353942
79.0,79.0,0.0071250014
80.0,80.0,0.0021445118
81.0,81.0,0.35697255
82.0,82.0,0.04815866
83.0,83.0,0.26091915
84.0,84.0,0.71994454
85.0,85.0,0.25996068
86.0,86.0,5.400621E-5
87.0,87.0,0.007979675
88.0,88.0,0.03741034
89.0,89.0,0.6636618
90.0,90.0,0.046671942
91.0,91.0,0.44288585
92.0,92.0,0.0017166496
93.0,93.0,0.008071513
94.0,94.0,2.3607905E-4
95.0,95.0,3.674342E-4
96.0,96.0,0.31550246
97.0,97.0,2.7292967E-4
98.0,98.0,0.036729068
99.0,99.0,0.060379237
100.0,100.0,0.31562868
101.0,101.0,0.0145325195
102.0,102.0,0.012390265
103.0,103.0,0.0037726176
104.0,104.0,0.0062152953
105.0,105.0,0.0381353
106.0,106.0,0.022487592
107.0,107.0,0.5305803
108.0,108.0,6.150262E-4
109.0,109.0,0.038606856
110.0,110.0,0.0024261521
111.0,111.0,0.04600752
112.0,112.0,0.10505664
113.0,113.0,0.032668293
114.0,114.0,0.29173014
115.0,115.0,0.79969954
116.0,116.0,0.024575086
117.0,117.0,0.037735146
118.0,118.0,0.0111851115
119.0,119.0,0.4765985
120.0,120.0,0.07443588
121.0,121.0,0.29909104
122.0,122.0,0.44368476
123.0,123.0,0.048892826
124.0,124.0,0.0101737585
125.0,125.0,0.005747299
126.0,126.0,0.39904487
127.0,127.0,0.111377515
128.0,128.0,5.9310585E-4
129.0,129.0,1.267516E-4
130.0,130.0,0.46027762
131.0,131.0,0.10486462
132.0,132.0,0.01274055
133.0,133.0,0.01319914
134.0,134.0,0.13300452
135.0,135.0,5.155739E-4
136.0,136.0,0.018234855
137.0,137.0,3.203729E-4
138.0,138.0,0.028435113
139.0,139.0,0.030425966
140.0,140.0,0.42923096
141.0,141.0,0.12288461
142.0,142.0,0.026374215
143.0,143.0,0.35703182
144.0,144.0,0.07774685
145.0,145.0,0.118257314
146.0,146.0,0.05605323
147.0,147.0,0.0017291249
148.0,148.0,0.021955734
