sp,lon,lat
haddadus_binotatus,-37.5,-11.5
haddadus_binotatus,-41.5,-13.5
haddadus_binotatus,-39.5,-13.5
haddadus_binotatus,-39.5,-14.5
haddadus_binotatus,-39.5,-15.5
haddadus_binotatus,-39.5,-16.5
haddadus_binotatus,-39.5,-17.5
haddadus_binotatus,-40.5,-18.5
haddadus_binotatus,-43.5,-19.5
haddadus_binotatus,-42.5,-19.5
haddadus_binotatus,-40.5,-19.5
haddadus_binotatus,-47.5,-20.5
haddadus_binotatus,-44.5,-20.5
haddadus_binotatus,-43.5,-20.5
haddadus_binotatus,-42.5,-20.5
haddadus_binotatus,-41.5,-20.5
haddadus_binotatus,-40.5,-20.5
haddadus_binotatus,-45.5,-21.5
haddadus_binotatus,-42.5,-21.5
haddadus_binotatus,-41.5,-21.5
haddadus_binotatus,-48.5,-22.5
haddadus_binotatus,-47.5,-22.5
haddadus_binotatus,-45.5,-22.5
haddadus_binotatus,-44.5,-22.5
haddadus_binotatus,-43.5,-22.5
haddadus_binotatus,-42.5,-22.5
haddadus_binotatus,-54.5,-23.5
haddadus_binotatus,-48.5,-23.5
haddadus_binotatus,-47.5,-23.5
haddadus_binotatus,-46.5,-23.5
haddadus_binotatus,-45.5,-23.5
haddadus_binotatus,-48.5,-24.5
haddadus_binotatus,-47.5,-24.5
haddadus_binotatus,-49.5,-26.5
haddadus_binotatus,-48.5,-27.5
